measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),1,Global,1,Male,22,All ages,294,All causes,1,Number,2009,324630965.6416768,419430992.1423352,240846718.0959144
3,YLDs (Years Lived with Disability),1,Global,2,Female,22,All ages,294,All causes,1,Number,2009,401392605.7687096,520116056.8784893,296693524.1312696
3,YLDs (Years Lived with Disability),1,Global,3,Both,22,All ages,294,All causes,1,Number,2009,726023571.4103862,936199047.1364563,537534279.9910939
3,YLDs (Years Lived with Disability),1,Global,1,Male,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,2,Female,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,3,Both,22,All ages,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,1,Male,22,All ages,294,All causes,3,Rate,2009,9353.282077469166,12084.664732415666,6939.286544433631
3,YLDs (Years Lived with Disability),1,Global,2,Female,22,All ages,294,All causes,3,Rate,2009,11693.171443481553,15151.764472443314,8643.129429834935
3,YLDs (Years Lived with Disability),1,Global,3,Both,22,All ages,294,All causes,3,Rate,2009,10516.77647631646,13561.262338835566,7786.424702495781
3,YLDs (Years Lived with Disability),1,Global,1,Male,26,70+ years,294,All causes,1,Number,2009,39931266.040871136,50646091.311078124,30239866.642534178
3,YLDs (Years Lived with Disability),1,Global,2,Female,26,70+ years,294,All causes,1,Number,2009,56686424.7271685,71070946.13360012,43088559.170128234
3,YLDs (Years Lived with Disability),1,Global,3,Both,26,70+ years,294,All causes,1,Number,2009,96617690.76803967,122175358.39004394,73435935.28400138
3,YLDs (Years Lived with Disability),1,Global,1,Male,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,2,Female,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,3,Both,26,70+ years,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,1,Male,26,70+ years,294,All causes,3,Rate,2009,26574.95849982107,33705.86280416084,20125.16207833057
3,YLDs (Years Lived with Disability),1,Global,2,Female,26,70+ years,294,All causes,3,Rate,2009,28502.249976652656,35734.867431253304,21665.167463139966
3,YLDs (Years Lived with Disability),1,Global,3,Both,26,70+ years,294,All causes,3,Rate,2009,27672.810870790665,34992.92478347184,21033.195184851396
3,YLDs (Years Lived with Disability),1,Global,1,Male,27,Age-standardized,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,2,Female,27,Age-standardized,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,3,Both,27,Age-standardized,294,All causes,2,Percent,2009,1.0,1.0,1.0
3,YLDs (Years Lived with Disability),1,Global,1,Male,27,Age-standardized,294,All causes,3,Rate,2009,9800.991508325615,12622.473152281606,7294.416343656976
3,YLDs (Years Lived with Disability),1,Global,2,Female,27,Age-standardized,294,All causes,3,Rate,2009,11663.334454600139,15103.943660923898,8630.411819768038
3,YLDs (Years Lived with Disability),1,Global,3,Both,27,Age-standardized,294,All causes,3,Rate,2009,10734.63556316022,13832.134435511647,7964.82606683374
