measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,98,Tobacco,1,Number,2009,142022828.5604564,148911301.9949448,135871602.743711
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,98,Tobacco,1,Number,2009,42011875.81661098,45579163.98591655,38172925.75467497
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,98,Tobacco,1,Number,2009,184034704.37706745,192906219.40827236,175735110.063393
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,98,Tobacco,2,Percent,2009,0.1352534417783498,0.1419224503853031,0.12851357684896333
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,98,Tobacco,2,Percent,2009,0.05294495817377866,0.05755366521329753,0.04809421580493254
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,98,Tobacco,2,Percent,2009,0.09982776510127854,0.10519210726075413,0.09422692548564919
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,98,Tobacco,3,Rate,2009,4091.968165576173,4290.439173998207,3914.738768890286
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,98,Tobacco,3,Rate,2009,1223.8692480273507,1327.789727758431,1112.0348480109017
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,98,Tobacco,3,Rate,2009,2665.8250861728343,2794.3329532221264,2545.6017467687634
4,YLLs (Years of Life Lost),1,Global,1,Male,26,70+ years,294,All causes,98,Tobacco,1,Number,2009,41806986.81816586,43679864.2710035,40022982.296984375
4,YLLs (Years of Life Lost),1,Global,2,Female,26,70+ years,294,All causes,98,Tobacco,1,Number,2009,15595729.10708815,16745224.933692105,14379852.053264821
4,YLLs (Years of Life Lost),1,Global,3,Both,26,70+ years,294,All causes,98,Tobacco,1,Number,2009,57402715.925254084,59865574.350127205,54946015.11019045
4,YLLs (Years of Life Lost),1,Global,1,Male,26,70+ years,294,All causes,98,Tobacco,2,Percent,2009,0.2771728904577102,0.2863311205530346,0.2682290770875215
4,YLLs (Years of Life Lost),1,Global,2,Female,26,70+ years,294,All causes,98,Tobacco,2,Percent,2009,0.10696531872085493,0.1142337100654913,0.09902186622268916
4,YLLs (Years of Life Lost),1,Global,3,Both,26,70+ years,294,All causes,98,Tobacco,2,Percent,2009,0.19351426549972206,0.20089393703986982,0.18644132114523007
4,YLLs (Years of Life Lost),1,Global,1,Male,26,70+ years,294,All causes,98,Tobacco,3,Rate,2009,27823.283603333683,29069.716424508602,26635.9972782428
4,YLLs (Years of Life Lost),1,Global,2,Female,26,70+ years,294,All causes,98,Tobacco,3,Rate,2009,7841.619430363173,8419.592332247083,7230.269677829942
4,YLLs (Years of Life Lost),1,Global,3,Both,26,70+ years,294,All causes,98,Tobacco,3,Rate,2009,16441.031540310218,17146.43253728367,15737.394178653658
4,YLLs (Years of Life Lost),1,Global,1,Male,27,Age-standardized,294,All causes,98,Tobacco,2,Percent,2009,0.1446234150803031,0.1515854055733669,0.13772596491694195
4,YLLs (Years of Life Lost),1,Global,2,Female,27,Age-standardized,294,All causes,98,Tobacco,2,Percent,2009,0.05258968944984451,0.05721820373528048,0.047720024765850154
4,YLLs (Years of Life Lost),1,Global,3,Both,27,Age-standardized,294,All causes,98,Tobacco,2,Percent,2009,0.102445091336397,0.10788466239589471,0.09680214572982593
4,YLLs (Years of Life Lost),1,Global,1,Male,27,Age-standardized,294,All causes,98,Tobacco,3,Rate,2009,4719.359084081789,4942.409585671554,4518.992047184541
4,YLLs (Years of Life Lost),1,Global,2,Female,27,Age-standardized,294,All causes,98,Tobacco,3,Rate,2009,1267.5463398148786,1376.3992517609313,1149.3488757729338
4,YLLs (Years of Life Lost),1,Global,3,Both,27,Age-standardized,294,All causes,98,Tobacco,3,Rate,2009,2892.2624710708665,3030.488284078257,2763.6340612115373
4,YLLs (Years of Life Lost),1,Global,1,Male,37,20+ years,294,All causes,98,Tobacco,1,Number,2009,138089698.70923698,144222618.2096399,132557718.61750588
4,YLLs (Years of Life Lost),1,Global,2,Female,37,20+ years,294,All causes,98,Tobacco,1,Number,2009,38224579.10917681,40769433.38803571,35617119.38602697
4,YLLs (Years of Life Lost),1,Global,3,Both,37,20+ years,294,All causes,98,Tobacco,1,Number,2009,176314277.8184139,183651957.55063906,169619591.39642733
4,YLLs (Years of Life Lost),1,Global,1,Male,37,20+ years,294,All causes,98,Tobacco,2,Percent,2009,0.21956911176948135,0.2267699245435385,0.21316620880413142
4,YLLs (Years of Life Lost),1,Global,2,Female,37,20+ years,294,All causes,98,Tobacco,2,Percent,2009,0.08713518485328976,0.09259546542035399,0.08105862977022642
4,YLLs (Years of Life Lost),1,Global,3,Both,37,20+ years,294,All causes,98,Tobacco,2,Percent,2009,0.16515022651793765,0.17119848757440997,0.15916091723150386
4,YLLs (Years of Life Lost),1,Global,1,Male,37,20+ years,294,All causes,98,Tobacco,3,Rate,2009,2764.7103181942075,2887.4982305577564,2653.953885363851
4,YLLs (Years of Life Lost),1,Global,2,Female,37,20+ years,294,All causes,98,Tobacco,3,Rate,2009,731.4000313051213,780.0940010649471,681.5081510651419
4,YLLs (Years of Life Lost),1,Global,3,Both,37,20+ years,294,All causes,98,Tobacco,3,Rate,2009,1725.0288910327624,1796.8195008906337,1659.5292183050367
4,YLLs (Years of Life Lost),1,Global,1,Male,158,<20 years,294,All causes,98,Tobacco,1,Number,2009,3933129.8512197305,5873251.825817356,2212461.0317610987
4,YLLs (Years of Life Lost),1,Global,2,Female,158,<20 years,294,All causes,98,Tobacco,1,Number,2009,3787296.7074341355,5725526.543924789,2087463.7822696727
4,YLLs (Years of Life Lost),1,Global,3,Both,158,<20 years,294,All causes,98,Tobacco,1,Number,2009,7720426.558653874,11678488.548554081,4297010.298850848
4,YLLs (Years of Life Lost),1,Global,1,Male,158,<20 years,294,All causes,98,Tobacco,2,Percent,2009,0.009336121998113837,0.013723419526821452,0.0052006969717953416
4,YLLs (Years of Life Lost),1,Global,2,Female,158,<20 years,294,All causes,98,Tobacco,2,Percent,2009,0.010670862311125132,0.01604407205359786,0.005989565340743655
4,YLLs (Years of Life Lost),1,Global,3,Both,158,<20 years,294,All causes,98,Tobacco,2,Percent,2009,0.00994654397491223,0.014785438673930375,0.005587823036405144
4,YLLs (Years of Life Lost),1,Global,1,Male,158,<20 years,294,All causes,98,Tobacco,3,Rate,2009,305.55240683036664,456.2743410932145,171.87909345615748
4,YLLs (Years of Life Lost),1,Global,2,Female,158,<20 years,294,All causes,98,Tobacco,3,Rate,2009,313.6377926544344,474.14861991036014,172.86935339182796
4,YLLs (Years of Life Lost),1,Global,3,Both,158,<20 years,294,All causes,98,Tobacco,3,Rate,2009,309.4659786284462,468.1211407326106,172.24158370107597
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,169,All risk factors,1,Number,2009,614576955.795219,644729260.0238409,583101045.7289511
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,169,All risk factors,1,Number,2009,440352956.20453656,466325537.7252086,415237608.4409306
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,169,All risk factors,1,Number,2009,1054929911.9997562,1108609340.8104804,999687495.8829626
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,169,All risk factors,2,Percent,2009,0.5851105732052387,0.599315909872679,0.5703953821060421
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,169,All risk factors,2,Percent,2009,0.5547570700249431,0.573223828761767,0.5367004917861102
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,169,All risk factors,2,Percent,2009,0.5720468566912975,0.5868771347412544,0.5570827667812412
4,YLLs (Years of Life Lost),1,Global,1,Male,22,All ages,294,All causes,169,All risk factors,3,Rate,2009,17707.21907105401,18575.9686254242,16800.33372537257
4,YLLs (Years of Life Lost),1,Global,2,Female,22,All ages,294,All causes,169,All risk factors,3,Rate,2009,12828.145158983318,13584.765595399667,12096.497233630822
4,YLLs (Years of Life Lost),1,Global,3,Both,22,All ages,294,All causes,169,All risk factors,3,Rate,2009,15281.132072791157,16058.702631667154,14480.920943029376
4,YLLs (Years of Life Lost),1,Global,1,Male,26,70+ years,294,All causes,169,All risk factors,1,Number,2009,105061913.51155867,108974977.47419284,100941101.79228535
4,YLLs (Years of Life Lost),1,Global,2,Female,26,70+ years,294,All causes,169,All risk factors,1,Number,2009,94215677.83442731,98429382.17628916,88542178.25448468
4,YLLs (Years of Life Lost),1,Global,3,Both,26,70+ years,294,All causes,169,All risk factors,1,Number,2009,199277591.34598574,206563428.0144626,190648669.58348304
